Drug,ATC3
Droperidol,N05A
halope,N05A
Haloperidol Decanoate (long acting),N05A
Quetiapine Suspension (SEROquel Brand),N05A
ZyPREXA Zydis,N05A
Quetiapine Fumarate (Seroquel),N05A
REVLIMID Lenalidomide,N05A
Calcium 600+D3 Plus,N05A
Besivance,N05A
Nevanac (nepafenac) 0.1%,N05A
Alectinib ,N05A
Thioridazine HCl,N05A
Magnesium Taurate,N05A
Iloperidone,N05A
clomiPHENE citrate,N05A
clomiPHENE citrate,N04A
Neptune Krill 1000,N05A
Thalidomide,N05A
Thalidomide,L04A
Thalidomide,A01A
Quetiapine Oral Suspension,N05A
Ziprasidone Hydrochloride,N05A
Fluphenazine,N05A
Fluphenazine DECANOATE,N05A
OLANZ,N05A
Fetzima,N03A
Fetzima,N05A
Risperidone Long Acting Injection,N05A
RisperDAL Consta,N05A
fluPHENAZine decanoate,N05A
haloperidol lactate,N05A
Niaspan Extended-Release,N05A
OLANZapine,N05A
Invega,N05A
haloperidol,N05A
Risperidone,N05A
diclofenac sodium gel 1%,N05A
clozapine,N05A
Fluphenazine HYDROCHLORIDE,N05A
mesalamine DR 1200mg TAB,N05A
QUEtiapine,N05A
GenTeal  Mild to Moderate,N05A
GenTeal  Mild to Moderate,S01K
Gefitinib,N05A
NeilMed NasaFlo,N05A
RISperidone (Disintegrating Tablet),N05A
RisperiDONE (Disintegrating Tablet),N05A
Quetiapine,N05A
RISperidone Long Acting Injection,N05A
ARIPiprazole,N05A
Trifluoperazine HCl,N05A
haloperidol ,N05A
Aripip,N05A
RisperiDONE Long Acting Injection,N05A
Olanzapine (Disintegrating Tablet),N05A
Thiothixene,N05A
Risperidone Oral Solution,N05A
OLAN,N05A
isometheptene-dichloralphenazone-acetaminophen,N05A
Deplin 15 (algal oil),N05A
VICOdin (hydrocodone-acetaminophen),N05A
Olanza,N05A
Quetiapin,N05A
Pancreatin 4X,N05A
abilify,N05A
Ziprasidone,N05A
Invega(Paliperidone),N05A
Quetiapine Fumarate (Serroquel),N05A
Clozapine,N05A
Colestipol,C10A
Colestipol,N05A
QUEtiapine Fumarate,N05A
Migraine Formula,N05A
OLan,N05A
Haloper,N05A
Symbicort 160-4.5,N05A
Quetiapine Fumarate,N05A
Prochlorperazine Maleate,N05A
Proch,N05A
chlorproMAZINE,N05A
Aripiprazole,N05A
Loxitane,N05A
Haloperi,N05A
Loteprednol etabonate,N05A
Risperdal,N05A
Adderall XR,N05A
metronidazole,N05A
metronidazole,J01M
ZIPRASidone Mesylate,N05A
Prempro 0.3mg/1.5mg,N05A
Prempro 0.3mg/1.5mg,A01A
Femcon Fe,N05A
Quetiapine extended-release,N05A
Loestrin 24 Fe,N03A
Loestrin 24 Fe,N05A
Loestrin 24 Fe,A04A
FluPHENAZine HYDROCHLORIDE,N05A
valbenazine,N05A
quetiapine,N05A
LoxiTANE,N05A
Shark Liver Oil,N05A
ZIPRASidone Hydrochloride,N05A
Quinacrine (Bulk),N05A
OLANZa,N05A
RISperidone Oral Solution,N05A
Perphenazine,N05A
QUEtiapine extended-release,N05A
Butrans (Buprenorphine),N05A
OLA,N05A
seroq,N05A
Olanzapi,N05A
loxapine succinate,N05A
Risperidone (Disintegrating Tablet),N05A
prucalopride,N05A
OLANZapine (Disintegrating Tablet),N05A
VIT D/PCB 4000/400/0 IU,N05A
zydis,N05A
zypre,N05A
Halop,N05A
Soothe Lubricant (white petrolatum),N05A
Ola,N05A
RisperiDONE,N05A
Haloperidol Decanoate,N05A
Cabozantinib     ,N05A
Prelone,C09A
Prelone,A07E
Cediranib,C09A
Zestril ,C09A
benazepril HCl (bulk),C09A
Capt,C09A
Rescula,C09A
Rescula,C01B
Glyset,C09A
moexipril,C09A
PERI-COLACE,C09A
PERI-COLACE,N02A
PERI-COLACE,A04A
quinapril,C09A
Lotensin,N03A
Lotensin,C09A
lomustine,C09A
lomustine,A04A
lomustine,C02D
*NF* Benazepril,C09A
ramipril,C09A
Symbicort 160-4.5 mcg,C09A
Symbicort 160-4.5 mcg,N02A
Capto,C09A
Elidel,C01E
Elidel,C09A
Elidel,D05A
Captopril,C09A
Quinapril,C09A
Captopr,C09A
Code LUT/ZEA03,C09A
Ondansetron ODT,C09A
Ondansetron ODT,A04A
Lotemax (Loteprednol Etabonate),C09A
Align (Bifidobacterium infantis),C09A
Testosterone Cream 2%,C09A
Lescol,C10A
Lescol,C01E
Lescol,C09A
Enalapril Maleate,C09A
Moexipril,C09A
eszopiclone,C09A
glycopyrrolate,N02A
glycopyrrolate,C09C
opium tincture,A07D
opium tincture,N02A
Tagrisso (Osimertinib),N02A
YAZ 28    3-20mcg,N02A
Mavyret,N02A
ketamine,N01A
ketamine,N02A
ketamine,N05B
Junel  Fe 1/20 ,N02A
U,R03D
U,A05A
U,N02A
MEMAntine,N02A
MEMAntine,N06D
Buprenorp,N02A
unoprostone isopropyl,N02A
Vitamin D,C10A
Vitamin D,A01A
Vitamin D,N02A
Vitamin D,A11C
Alisertib,N03A
Alisertib,N02A
Everolimus ,N02A
Lialda (Mesalamine),N02A
Claritin RediTabs,N02A
Exenatide (Byetta),N02A
Lorazepam Topical (C-AH),N02A
Morphine Sulfate (Oral Soln.),N02A
Morphine Sulfa,N02A
Dextromethorphan HBr 30mg/15ml,N02A
netarsudiL (Rhopressa),N02A
Morphine (PF),N02A
Necon 0.5/35 (28),N02A
 *NF* Fiasp (aspart) FlexTouch U-100 Insulin ,N02A
Morphine Sulfate (Syringe),N02A
Estradiol Transdermal Patch,M03B
Estradiol Transdermal Patch,G03C
Estradiol Transdermal Patch,N02A
procarbazine,L01X
procarbazine,N02A
procarbazine,A07E
Tyzeka,N02A
Zenpep ,N02A
Zenpep ,A07E
Rinvoq,N02A
2,N02A
2,C02A
2,A09A
2,S01K
2,M02A
Cenestin,N02A
Beconase AQ,N02A
Beconase AQ,D06B
Beconase AQ,M05B
Morphine Sulfate (Rectal),N02A
Bupr,N02A
diclofenac sodium topical,N02A
Pazopanib Non Normulary,N02A
Atrovent Nasal Spray,N02A
levonorg-eth estrad triphasic,N02A
desogestrel-ethinyl estradiol 0.15/0.03mg,N02A
MS Contin,N02A
DASatinib,L01X
DASatinib,N02A
HYDROmorphone P.F.,N02A
Desoximetasone 0.25% cream,N02A
OxycoDONE Liquid,N02A
Nortriptyline 50mg,N02A
estradioL-progesterone Femoston,N02A
Norgestrel-Ethinyl Estradiol,C10A
Norgestrel-Ethinyl Estradiol,N02A
glucosamine-chondroitin,N02A
Apriso 0.375g capsules,N02A
Excedrin Migraine,A01A
Excedrin Migraine,N02A
Excedrin Migraine,M02A
Bisacodyl Supp,N02A
Nyamyc,N02A
TraMADOL (Ultram),N02A
HYDROmorphone ,N02A
Inlyta (axitinib),N02A
Dilaudid-5,N02A
NIFEdipine (bulk) Ointment,N02A
Morphine ,N02A
galantamine ER ,N02A
Tramadol,N02A
Ritalin,N02A
Serum base tear drop,N02A
Morphine Sulf,N02A
capecitabine tablet****NF****,N02A
OxycoDONE ,N02A
Vyndamax,N02A
"progesterone 100mg/ml, estrodiol 1mg/ml, testosterone 0.4mg/ml",N02A
ENMD 2076,N02A
morphine,N02A
Morphine Sulfate (Oral Solution) 2 mg/mL,N02A
Morphine Sulfate (Immediate Release),N02A
mirabegron (Myrbetriq),N02A
TraMADOL,N02A
Actiq,N01A
Actiq,N02A
OxycoDONE (Immediate Release) ,N02A
Hecoria,N02A
Telmisartan-Hydrochlorothiazide,N02A
Morph,N02A
HYDROmorphone PCA,N02A
Focalin XR (dexmethylphenidate),N02A
MOD-Oxycodone,N02A
transpro-et 150-1.75-0.15,N02A
Advil Liqui-Gel,N02A
Advil Liqui-Gel,D04A
Cyanocobalamin,B03B
Cyanocobalamin,N02A
Calcium 600 + D (D3),N02A
Prena1 Chew,N02A
Suboxone,N03A
Suboxone,N02A
Suboxone,A09A
GenTeal ophth gel 0.3%,N02A
OxyCODONE SR (OxyconTIN),N02A
Morphine Sulfate ,N02A
Zelboraf,N03A
Zelboraf,N02A
hydromorphone-bupiv-NaCL (PF),N02A
Oxycodone SR (OxyconTIN),N02A
Candesartan,N02A
Candesartan,N05B
Candesartan,C09C
cefaDROXil,N02A
Morphine Sulfate (PF),N02A
Magnesium Tab SR,N02A
Morphine Su,N02A
OxyCONTIN,N02A
hydromorph,N02A
Morphin,N02A
Orphenadrine ER,N02A
Rebif,N03A
Rebif,N02A
Hydromorphone (Rectal),N02A
HYDROmorphone-HP,N02A
Gas-X,N02A
Pazopanib,M03B
Pazopanib,H03A
Pazopanib,N02A
Velpatasvir/Sofosbuvir,N02A
Prednisolone (prelone),N02A
Xopenex Neb,N02A
Alecensa,N02A
oxycod,N02A
oxycodone SR (oxcontin),N02A
OxycoDONE (Concentrated Oral Soln),N02A
cyclosporine modified,N02A
cyclosporine modified,C01B
cyclosporine modified,L04A
cyclosporine modified,C02D
cyclosporine modified,C08C
NovoLOG PEN,N02A
Aller-Tec,N02A
Cobimetinib/Ipatasertib,N02A
morp,N02A
Morphine SR (MS Contin),N02A
Sitagliptin-Metformin,N02A
Sofosbuvir/Velpatasvir,N02A
Systane Ultra Eye Drops,N02A
Hydromorphone,N02A
Morp,N02A
morph,N02A
diphenhydramine 1% cream,N02A
Altavera (28):ethinyl estradiol/levonorgestrel,N02A
Cortisone AC,A05A
Cortisone AC,N02A
NovoLOG Flexpen U-100 Insulin,N02A
Dairy Relief,N02A
Procrit,L01X
Procrit,N02A
OxyCODONE SR (OxyCONTIN),N02A
Morphine Sulfate (Concentrated Oral Soln),N02A
ocu-glide,N02A
ocu-glide,N05B
Lumigan 0.01%,N02A
Lumigan 0.01%,J01C
Lumigan 0.01%,S01E
Eye Wash,N02A
Morphine Sul,N02A
Targretin 1% gel,N02A
Cyclosporine,L04A
Cyclosporine,N02A
Morphine S,N02A
Oxybutynin XL   (*NF*) ,N02A
Oxybutynin XL   (*NF*) ,C02D
lactobacillus acidophilus,C05A
lactobacillus acidophilus,N02A
Actiq (Fentanyl Citrate),N02A
Nuplazid 34mg,N02A
"Petroleum Jelly, White",A01A
"Petroleum Jelly, White",N02A
Morphine Sulfat,N02A
oxyCODONE,A01A
oxyCODONE,N02A
Tums Ultra,N02A
Morphine Sulfate (,N02A
Fosamax,M05B
Zoledronic Acid,M05B
Alendronate Sodium,R06A
Alendronate Sodium,M05B
Alendronate,M05B
Dexam,A01A
aspi,A01A
metroNIDAZOLE Desensitization,A01A
hydrocodone-chlorpheniramine,A01A
mesalamine (Apriso) 0.375 gm,A01A
naproxen,A01A
Anoro Ellipta (Umeclidinium-Vilanterol),A01A
Neomycin-Polymyxin-Dexameth Ophth. Oint,A01A
dexamethasone,A01A
Aspirin 325 mg,A01A
Vaseline White Petroleum,A01A
Lidocaine 2%/Epinephrine P.F.,A01A
Epinephrine ,A01A
Metro,A01A
dexamethas,A01A
Udenyca,A01A
Liposomal Vitamin D,A01A
vortioxetine (Trintellix),A01A
Racepinephrine,A01A
fiori,A01A
dipy,A01A
Aspirin 81 mg,A01A
Neomycin-Polymyxin-HC Otic Susp,A01A
MetroNIDAZOLE Gel 0.75%-Vaginal,A01A
Triamcinolone ,A01A
Chlorpromazine,A01A
Amphotericin B Nebulized,A01A
Becaplermin Gel 0.01%,A01A
Exelon  9.5mg/24hr,A01A
Lidocaine 1%/Epinephrine,A01A
Brimonidine-Timolol,A01A
Brimonidine-Timolol,D11A
orabase,A01A
afatinib,A01A
MetroNIDAZOLE,A01A
Systane Ultra (PF),A01A
AndroGeL (testosterone gel),A01A
Cortisone acetate,A01A
Lidocaine HCl,A01A
Clotrim Antifungal,A01A
hydroco,A01A
Dipyridamole-Aspirin,A01A
Sodium Fluoride 1.1% (Dental Gel),A01A
Sodium Fluoride 1.1% (Dental Gel),D04A
everolimus (antineoplastic),A01A
MetronidAZOLE Topical 1 % Gel,A01A
Dexame,A01A
hydrocorTISone,A01A
MetroNIDAZOLE Topical 1 % Gel,A01A
UltraFlora Spectrum,A01A
Triamcinolone,A01A
Miconazole 2% Cream,A01A
Doxycycline Hyclate Desensitization,A01A
WP Thyroid,A01A
Nizatidine,A01A
Nizatidine,A07D
Epinephrin,A01A
Aspirin 81mg or placbo,A01A
Proctosol HC,A01A
Aspirin 81 mg ,A01A
Tadalafil 40mg tablet,A01A
aldesleukin,A01A
aldesleukin,B03B
Dexamethason,A01A
Ecotrin,A01A
Excedrin Tension Headache,N03A
Excedrin Tension Headache,A01A
doxycy,A01A
Dabrafenib (Tafinlar) 75mg,A01A
prednisone,A01A
prednisone,C01E
anu,A01A
Neomycin,A01A
Aspirin Childrens,A01A
Epinephrine 1:1000,A01A
Epine,A01A
Aspirin-Caffeine-Butalbital,A01A
alfuzosin ,A01A
Aspiri,A01A
Pimecrolimus (Elidel),A01A
Uptravi(selexipag),A01A
Lidocaine 0.5,A01A
Triamcinolone Acetonide 0.025% Ointment,A01A
Hydrocortisone Acetate 10%  Foam,A01A
Triamcinolone Acetonide 0.1% Cream,A01A
Procto,A01A
Tetracycline HCl,A01A
Synthroid (levothyroxine),A01A
Calamine,A01A
Triamcinolone Acetonide 0.025% Cream,A01A
Voltaren Gel,A01A
"Lidocaine 1%/Epinephrine 1:200,000",A01A
pegfilgrastim,A01A
pegfilgrastim,L01B
Dexamethasone Sod Phosphate,A01A
aspir,A01A
Aptiom (eslicarbazepine),A01A
Cortenema,A01A
Prasterone (DHEA),A01A
Aspirin Desensitizati,A01A
Periogard,A01A
Neomycin Sulfate,A01A
Butalbital,A01A
Hydrocortisone Cream 2.5%,A01A
ASPIRIN325MG,A01A
"Preparation H(pe,cb)",A01A
metrogel,A01A
Neomycin/Polymyxin/Dexameth Ophth Susp.,A01A
Timoptic-XE(Timolol maleate-XE),A01A
Bosulif,A01A
Aspirin ,A01A
Epi,A01A
Hydrocortisone Oint 2.5%,A01A
Proctozone-HC,A01A
micon,A01A
Dexa,A01A
Hydrocortisone,A01A
lisdexamfetamine (Vyvanse),A01A
Epinephr,A01A
Metrogel,A01A
Belsomra (suvorexant),A01A
Belsomra (suvorexant),C09C
Fluticasone 44mcg/Inh,A01A
CELECOXIB,A01A
Spiriva with HandiHaler,A01A
Pravastatin,C10A
Pravastatin,A01A
Lidocaine 0.5%,A01A
Lidocaine 0.5%,C01B
erdafitinib,A01A
Epinephrine Base,A01A
Aspirin Desensitization ,A01A
EPINE,A01A
Lidocaine 0.5%/Epinephrine,A01A
Aspir,A01A
Dexamethasone,A01A
metroNIDAZOLE,A01A
Aspirin 325mg ,A01A
Asp,A01A
Orabase,A01A
lisdexamfetamine,A01A
lisdexamfetamine,H03A
MetRONIDAZOLE,A01A
dexAMETHasone,A01A
Dexameth,A01A
Butalbit,A01A
INV-Hydrocortisone,A01A
Hydrocortisone Oint 1%,A01A
Calcitriol,A01A
Calcitriol,A11C
URSO Forte,A01A
URSO Forte,A05A
acetaminophen-caffeine,A01A
Aspi,A01A
Aspirin 81mg (1cap),A01A
fiorinal,A01A
Aspirin Desensitization (Angioedema),A01A
EpiPen,A01A
anusol,A01A
De,A01A
Ixazomib ,A01A
Dexamethasone Ophthalmic Susp 0.1%,A01A
Iressa,A01A
Iressa,R05D
Epinephrine HCl,A01A
EPINEPHrine-Sodium Chloride,A01A
Aspirin Desensitization (Urticaria/Angioedema),A01A
Epinephrine Auto Injector,A01A
Dexamethasone Susp 0.1%,A01A
Butalbita,A01A
Epinephrine,A01A
Lidocaine 1%/Epinephrine 1:100000,A01A
Aspirin 325 mg ,A01A
INV-Dexamethasone,A01A
Hydrocortisone Cream 0.5%,A01A
EPINEPHrine Auto Injector,A01A
Lidocaine 2%/Epinephrine,A01A
Lidocai,A01A
Lidocai,C01B
Sodium Fluoride (Dental Gel),A01A
Vancomycin 250mg,A01A
Thalomid,A01A
Dulcolax,A01A
mineral oil & white petrolatum,A01A
Dexamethasone Oral ,A01A
Dexamethaso,A01A
dexame,A01A
Triamcinolone Acetonide 0.1% Ointment,A01A
Levemir Flexpen 100 units/mL,A01A
Levemir Flexpen 100 units/mL,C01B
*NF* Aspirin-Acetaminophen-Caffeine,A01A
Dexametha,A01A
Hydrocortisone (Rectal) 2.5% Cream,A01A
"Lidocaine 2%/Epi 1:100,000",A01A
"Lidocaine 2%/Epi 1:100,000",C01B
Rozerem 8mg tab,A01A
Metronidazole Gel 0.75%-Vaginal,A01A
Aspirin Desensitization (AERD),A01A
clotrima,A01A
Lactose Fast Acting Relief,A01A
clotrimazole,A01A
triamcinolone acetonide,A01A
triamcinolone acetonide,N05B
tetrahydrozoline,A01A
Minocycline,A01A
Hydrocortisone ,A01A
Aspirin Low-Strength,A01A
Dexamethas,A01A
Triamcinolone Acetonide Inj,A01A
Epinephri,A01A
buta,A01A
Aspirin 81mg,A01A
Soothe Hydration,A01A
dipyridamole,A01A
Aggrenox,A01A
Hydrocortisone Na Succ,A01A
Lidocaine 0.5%/Ep,A01A
Hydrocortisone Acetate Suppository,A01A
triam,A01A
triam,C03D
Calcium 500 + D (D3),A01A
DHEA (dihydroxyepiandrosterone),A01A
Hydrocortis,A01A
ecotrin,A01A
Neomycin/Polymyxin B Sulfate,A01A
Dexamet,A01A
asp,A01A
Chlorhexidine Gluconate,A01A
Hydrocortisone Cream 1%,A01A
aggre,A01A
Amphotericin B Oral Suspension,A01A
dex,A01A
Calcium Citrate + D with Mag,A01A
Bystolic (nebivolol),A01A
CARMOL 20,A01A
Progesterone ,A01A
hydrocort,A01A
Dabrafenib,A01A
Nystatin-Triamcinolone Cream,A01A
neomycin-polymyxin-dexameth,A01A
Aspirin Desensitization,A01A
hydrocorTISone Sod Succinate,A01A
Aspirin Low Dose,A01A
Citracal Maximum +D3,A01A
aspirin-acetaminophen-caffeine,A01A
PrimiDONE,N03A
PrimiDONE,A01A
Lidocaine 1,A01A
xyliMelts,A01A
Hydrocortisone Na Succ.,A01A
Lidocaine 1%/Epinephrine 1:200000,A01A
Aspirin 81mg ,A01A
Clotrimazole ,A01A
"Lidocaine 1%/Epinephrine 1:100,000",A01A
aggrenox,A01A
MetRONIDAZOLE (FLagyl),A01A
prev,A01A
aspirin 325 mg,A01A
Hydrocortisone Enema,A01A
brinzolamide(Azopt),A01A
Dexamethasone Sod Phos,A01A
Clotrimazole 1% Vaginal Cream,A01A
Neurontin (gabapentin),A01A
Lidocaine 1%/Epinephrine ,A01A
Aspirin 325mg,A01A
Clotrimazole Cream,A01A
trospium ER,C10A
trospium ER,A01A
ketotifen fumarate ,A01A
Dexamethasone ,A01A
Triamcinolone Dental Paste,A01A
Univasc,A01A
Dexamethasone Intensol,A01A
Chlorhexidine Gluconate 0.12% Oral Rinse,A01A
Epin,A01A
Hydrocortisone Oint 0.5%,A01A
Pramipexole,N04B
Pramipexole,A01A
Amphotericin B Deoxycholate,A01A
Dexamethasone Oral Soln,A01A
Miconazole Nitrate Vag Cream 2%,A01A
Oxsoralen Ultra,A01A
Neomycin-Polymyxin B GU,A01A
EstroGel 0.06%,A01A
Dex,A01A
Neomycin-Polymyxin-HC,A01A
Nifedipine,A01A
Nifedipine,C08C
butalbital-aspirin-caffeine,A01A
Aspirin 325 ,A01A
hydrocorTISone Sod Succ (PF),A01A
dipyridamole-aspirin,A01A
lidocaine-epinephrine,A01A
Miconazole Nitrate (Combo Pack),A01A
Clotrimazole,A01A
epi,A01A
Doxycycline Monohydrate,A01A
triamc,A01A
BenadryL (diphenhydramine),A01A
Anusol-HC,A01A
Insulin Glargine ,A01A
Dexamethasone Ophthalmic Soln 0.1%,A01A
Dexamethasone Ophthalmic Soln 0.1%,G02C
Epineph,A01A
benzocaine,A01A
benzocaine,C05A
Amphotericin B,A01A
Nystatin-Triamcinolone Ointment,A01A
Zelapar,N04B
Zelapar,N03A
Requip ER,N04B
Neupro 8mg/24hrs Patch,N04B
carbid,N04B
Comtan,N04B
rOPINIRole (REQUIP),N04B
rOPINIRole (REQUIP),N03A
Carbidopa-Levodopa (10-100),N04B
rotigotine *NF* 8 mg/24 hour,N04B
entacapone,N04B
entacapone,C10A
Azilect (rasagiline),N04B
Rytary 48.75 mg-195 mg,N04B
Rytary 48.75 mg-195 mg,C03D
Amantadine,N04B
Entacapone,N04B
rOPINIRole,N04B
Melatonin-Theanine,N04B
Tolcapone,N04B
Ropinirole Extended-release,N04B
sele,N04B
Tasmar,N04B
Tasmar,C01C
amantadine,N04B
Sinemet CR,N04B
*NF* Entacapone,N04B
Amantadine Syrup,N04B
Carbidopa-Levodopa (25-100) ODT,N04B
ACP-103 ( pimavanserin) 20mg,N04B
ENTAcapone,N04B
Carbidopa-Levodopa (25-250),N04B
*NF* Pramipexole,N04B
Carbidopa-Levodopa CR (50-200),N04B
PARCOPA,N04B
ACP-103 (pimavanserin),N04B
ACP-103 (pimavanserin),A07E
AZILECT (Rasagiline) 0.5mg TAB,N04B
Selegiline,N04B
Carbidopa-Levodopa (25-100),N04B
Carbidopa-Levodopa (25-100),C05A
*NF* Rasagiline,N04B
Ropinirole HCl,N04B
Duopa (carbidopa/levodopa 4.63/20mg/ml),N04B
Selegiline HCl,N04B
tolcapone,N04B
Carbidopa-Levodopa CR (25-100),N04B
prami,N04B
Ondan,A04A
Ondansetr,A04A
Scopolamine Base,A04A
Ciprofloxacin 0.3% Ophth Soln,J01M
Ciprofloxacin 0.3% Ophth Soln,A04A
Requip XL (ropinirole),A04A
HYDROmorphone (PF),A04A
ondans,A04A
Migraine Relief,A04A
Dronabinol,A04A
Onda,A04A
dolasetron,A04A
riluzole,N07X
riluzole,A04A
zofr,A04A
Exforge,A04A
proGESTerone micronized 200mg Supp,A04A
onda,A04A
Zofran ODT,A04A
ondan,A04A
Flurazepam,N03A
Flurazepam,A04A
Desogen-28,A04A
Kytril,A04A
Budesonide ER,A04A
modafinil  (Provigil),A04A
Ondanse,A04A
Slow Iron,A04A
Generlac (lactulose),A04A
Tagrisso (osimertinib),A04A
Ondansetron HCl,A04A
Scopolamine Patch,A04A
Benicar HCT,C02D
Benicar HCT,A04A
Benicar HCT,D04A
Ondanset,A04A
ZOFRAN ODT,A04A
ond,A04A
Pancrelipase 4500,A04A
folic acid,B03B
folic acid,A04A
Gas-X Ultra-Strength,A04A
Gas-X Ultra-Strength,A07E
Loestrin Fe 1.5/30 (28),A04A
NiCARdipine,C08C
NiCARdipine,A04A
Nexium 40mg,A04A
scopolamine base,A04A
Anzemet,A04A
Pristiq 50mg ,A04A
Aviane 28,A04A
ATRIPLA 600 mg-200 mg-300 mg Tab,A04A
aprepitant,A04A
Saw Palmetto,A04A
Ropinirole SR,A04A
Anamorelin,A04A
Zofran (as hydrochloride),A04A
Ondansetro,A04A
ondansetron,A04A
Ond,A04A
Calcimate ,A04A
Nifedipine (Bulk),C08C
Nifedipine (Bulk),A04A
Ondans,A04A
*NF* Bimatoprost  0.03%  Ophth,S01E
Travatan (Travoprost 0.004%),S01E
xalat,S01E
Apraclonidine 0.5%,S01E
AcetaZOLamide,S01E
Dorzolamide,S01E
Timolol Maleate,S01E
AcetaZOLamide Sodium,S01E
Travoprost (Benzalkonium),S01E
xala,S01E
Levobunolol 0.5%,S01E
xal,S01E
Azopt 1% Ophth  (*NF* ),S01E
Levobunolol,S01E
Dorzolamide 2% Ophth. Soln.,S01E
xalatan,S01E
Celebrex,L01X
Celebrex,S01E
brinz,S01E
latanoprost,S01E
Methazolamide,S01E
Bimatoprost,S01E
travoprost (benzalkonium),S01E
latano,S01E
Latanoprost,S01E
Physostigmine Salicylate,S01E
BuPROPion Extended-Release,S01E
AcetaZOLamide S.R.,S01E
Brinzolamide,S01E
Lumigan (0.01%) Bimatoprost,S01E
Latanoprost 0.005% Ophth. Soln.,S01E
Phenyleprhine Ophth Soln 10%,C01C
Ephedrine,C01C
Neo-Synephrine (phenylephrine),C01C
Omega-3 Fatty Acids-Vitamin E,C01C
Ephed,C01C
Norepinephrine Bitartrate,C01C
Phenylephrine  0.5% Nasal Spray,C01C
Midodrine,C01C
propofol (PF),C01C
phenylephrine HCl,C01C
Vitamin D-3,C01C
Vitamin D-3,A11C
Neo-Synephrine,C01C
Hemorrhoidal Suppository,C01C
Phenylephrine (For Priapism),C01C
Ephedrine Sulfate,C01C
Phenylephrine 2.5 % Ophth Soln,C01C
DOBUTamine,C01C
Milrinone,C01C
Phenylephrine 1% Nasal Spray,C01C
hem,C01C
Ephedrine ,C01C
Isoproterenol,C01C
Granulex,C01C
EPINEPHrine Kit,C01C
Robitussin Chest Congestion,R05C
guaiFENesin,R05C
guaif,R05C
Acetylcystein,R05C
acety,R05C
Acetylcystei,R05C
acetylc,R05C
Dornase alfa *NF*,R05C
*NF* Guaifenesin LA,R05C
Acetylcysteine Inhaled - For interventional pulmonary use only,R05C
G,R05C
G,A10B
G,G03B
G,D06A
G,R02A
G,H04A
G,N03A
G,J06B
G,G03A
Acetylcysteine,R05C
Acetylcysteine,B03B
mucinex,R05C
acetylcys,R05C
Guaifenes,R05C
mucine,R05C
Pulmozyme,R05C
Guaifenesin (Sugar Free),R05C
Scot-Tussin Expectorant,R05C
acetylcy,R05C
mucin,R05C
Nystatin Powder,R05C
Dexilant (dexlansoprazole),R05C
Acetylcysteine 20%,R05C
dornase alfa,R05C
acetyl,R05C
Acetylcysteine (IV),R05C
Dornase alfa,R05C
Guaifene,R05C
Acetylcysteine ,R05C
pantoprazole 2mg/ml,R05C
Incruse Ellipta (umeclidinium),N03A
Incruse Ellipta (umeclidinium),R05C
Incruse Ellipta (umeclidinium),A07E
guai,R05C
guai,R05D
Guaifenesin ER,R05C
GuaiFENesin,R05C
Guai,R05C
Guai,R05D
Potassium Iodide,R05C
GuaiFENesin ER,R05C
Dornase Alfa,R05C
Acetylcysteine Inhaled – For interventional pulmonary use only,R05C
Advanced Eye Health,R05C
mometasone furoate (Nasonex),J01M
Levofloxacin,J01M
*NF* Moxifloxacin,J01M
ciprofloxacin,J01M
Bromfenac (Xibrom),J01M
difluprednate 0.05%,J01M
Nepro Carb Steady,J01M
Ciprofloxacin IV,J01M
Robitussin Cough & Cold CF,J01M
Ciprofloxacin ,J01M
B-12 DOTS,J01M
Moxifloxacin 0.5% Ophth (*NF*),J01M
HYDROmorphone Solution,N03A
HYDROmorphone Solution,J01M
Griseofulvin Ultramicrosize,J01M
Cipro,J01M
Levofl,J01M
Levonorgestrel 0.1mg/Ethinyl Estratiol 0.02mg,J01M
Ciprofloxacin HCl,J01M
Abelcet (amphotericin lipid complex),J01M
Beyaz,J01M
AveLOX,J01M
betaxolol,J01M
Ciproflox,J01M
Scopolamine 0.25% Ophth Soln,J01M
IL2,J01M
Avelox,J01M
LevoFLOXacin,J01M
Moxifloxacin,J01M
Ketorolac 0.4% OphTHalmic,J01M
interferon alfa-2b,J01M
ciprofloxacin HCl,J01M
Gabapentin,N03A
Gabapentin,J01M
Gabapentin,N05B
Gabapentin,G04B
Ciprofloxacin,J01M
V,J01M
V,M03A
V,C08D
V,L01C
V,G01A
V,C09C
Travatan Z 0.004%,J01M
Loryna (28),J01M
Revlimid (lenalidomide),J01M
Edoxaban ,J01M
Ciloxan,J01M
Adenosine 6mg/2mL 2mL VIAL,A11D
lurasidone (Latuda),A11D
Calcium Gluconate (Premix),A11D
INV-Thiamine,A11D
HYDROmorphone-bupiv (PF)-NaCL,A11D
Temodar 140mg,A11D
Thiamine ,A11D
thiamine HCl (vitamin B1),A11D
Phyton,B02B
Thrombin,B02B
Phytonadi,B02B
Phytonad,B02B
Phy,B02B
Phyto,B02B
Phytona,B02B
Phytonadione Oral Solution,B02B
Thromb,B02B
Thrombin Topical,B02B
Phyt,B02B
thrombin (bovine),B02B
pyrimethamine/leucovorin,B02B
Advair HFA 230-21,N05B
NIFEdipine cream 2%,N05B
Morphine Concentrate,N05B
asenapine,N05B
doxycycline,N05B
Fish Oil Concentrate,N05B
